GEO (Labels);Licz_lud;Wsk_zan;L_zdr_ż;Wsk_śm;Wsk_śm_r;Sam_zdr;N_pal;P_ok;Nied;W_nor;Nadw;Oty;M_akt_fiz;Śred_akt_fiz;Du_akt_fiz;B_du_akt_fiz
Belgium;11488980.00;0.422883494;62.4;9.469334963;2.438597682;27.7;80.6;4;3.2;48;48.8;15.9;76.9;29.5;42;15.9
Bulgaria;6975761.00;1.529166495;66.3;15.28507069;2.618495674;16.8;63.8;7.1;2.4;44.1;53.4;13.2;94.5;10.8;13.6;10.1
Czechia;10671870.00;0.727997998;62;10.55719382;2.714051052;20.1;73.6;6.5;1.6;40;58.4;19.3;89.5;26.1;35.6;18.5
Denmark;5814422.00;0.322302028;58.9;9.264549426;2.828484069;21.6;80;7.1;2.3;48.8;48.8;15.9;83.1;47.5;75.8;53
Germany (until 1990 former territory of the FRG);83092962.00;0.439192431;66.3;11.34041894;2.889089451;18.3;71.7;5.4;2.7;45.2;52.1;18.5;80.8;34.3;67.3;47.3
Estonia;1326898.00;0.070691191;55.8;11.48091262;2.961795104;12.5;75.2;5.5;2.5;42.4;55.1;21.1;79.6;20.3;43.5;21.8
Ireland;4934340.00;0.145206856;69.6;6.319791502;1.998240899;44.4;81.8;4.1;2;44;54;18;82.5;12.8;51.1;27.4
Greece;10721582.00;0.883852775;66;11.66021955;2.857507409;46.7;71.4;3.7;1.4;42.3;56.2;16.2;82.9;13.6;26;12.1
Spain;47134837.00;0.351135191;69.9;8.883090017;2.398629277;18.7;77.9;2.3;2.4;45.3;52.3;15.4;88.6;7.9;50;20.7
France;67388001.00;0.322649428;64.1;9.105493425;2.54990499;21.4;76;5.4;4.3;50.3;45.4;14.4;81.9;15.4;45.2;23.9
Croatia;4067206.00;0.895258317;57.4;12.90246916;3.387091778;28.4;74.3;3.6;1.7;34.5;63.8;22.6;88.4;22;26.8;18
Italy;59729081.00;0.712589233;68.3;10.73942524;3.001971519;15.9;77.6;5.1;3.9;51.4;44.7;11.4;72.5;16;26.7;14.4
Cyprus;881952.00;0.698677479;62.5;7.204473713;1.700772831;46.8;74.5;3;3.9;47.7;48.5;14.6;13.7;0.6;35.2;10.6
Latvia;1913822.00;0.596398202;53.1;14.38796293;3.185771718;4.7;73.2;4.3;2.6;40.7;56.7;22.3;85.8;19;37.9;28
Lithuania;2794137.00;0.77755672;57.5;13.53799044;2.927916562;7.6;76.3;4.8;2.3;42.7;55;18.3;82.7;18.4;31.1;22.4
Luxembourg;620001.00;0.174838428;62.6;6.645150572;1.837093811;24.3;81.8;6.9;3.7;49.2;47.1;16.1;89.6;17.2;66.8;43
Hungary;9771141.00;1.011335319;61.7;13.26385527;3.340244502;16.4;72.8;2.3;2.7;38.9;58.3;23.9;87.4;35.9;42.8;31.2
Malta;504062.00;0.45569791;73.2;7.399883348;1.910479266;21.1;74.9;4.5;1.9;34.2;63.9;28.1;72.6;4.6;26.1;16.1
Netherlands;17344874.00;0.379829799;61;8.706491612;2.717805849;23.3;78.9;5.7;2.9;48.9;48.3;14.1;75.4;61.3;53.5;29.8
Austria;8879920.00;0.428393499;57.3;9.344566167;2.424346165;32.2;73.8;5.6;2.6;46.3;51.1;16.7;89.1;30.4;62.2;42.7
Poland;37965475.00;1.191766994;62.5;10.81414101;2.864971398;15.4;77.4;3.2;2.7;40.6;56.7;18.5;87.8;28.4;25.8;12.1
Portugal;10286263.00;0.25713906;59.2;10.92077852;2.836404241;9.5;83;2.8;2;43.4;54.5;17.2;68.1;6.1;33.2;15.2
Romania;19371648.00;1.122909109;60.2;13.28364009;2.597920425;28;72.7;8.3;1;42.5;56.4;10.5;92.6;12.3;6.3;2.7
Slovenia;2088385.00;0.620623113;60.9;9.60694508;3.037275215;21.9;76.8;5.8;1.6;41.8;56.6;19.4;85.3;35.5;55.1;41
Slovakia;5454147.00;0.80826571;56.2;9.662922543;2.519367373;20.8;72.4;6.6;2.2;40;57.8;19.3;91.1;34.1;32.6;15.7
Finland;5521606.00;0.033722073;56.4;9.749699634;2.404191824;17.9;82.2;7;1.7;40.6;57.7;20.3;95.7;38.8;44;59.5
Sweden;10278887.00;0.051114484;73.3;8.595580436;2.290423078;26.4;87.4;5.2;2.4;48;49.6;14.7;90;33.8;75.3;56.7
Iceland;360563.00;0.145050934;63;6.148717422;1.780548753;23;86.3;5.3;1.4;38.5;60.1;21.7;53.6;13.9;71.2;57.6
Norway;5347896.00;0.230801048;69.8;7.502763704;2.084371125;24.2;81.9;7.7;2;48.4;49.6;13.8;71.3;19;84.2;40.1
