GEO (Labels);Wsk_zan;L_zdr_ż;Wsk_śm;N_pal;W_nor;Nadw;akt_fiz
Belgium;0.422883494;62.4;9.469334963;80.6;48;48.8;15.9
Bulgaria;1.529166495;66.3;15.28507069;63.8;44.1;53.4;10.1
Czechia;0.727997998;62;10.55719382;73.6;40;58.4;18.5
Denmark;0.322302028;58.9;9.264549426;80;48.8;48.8;53
Germany;0.439192431;66.3;11.34041894;71.7;45.2;52.1;47.3
Estonia;0.070691191;55.8;11.48091262;75.2;42.4;55.1;21.8
Ireland;0.145206856;69.6;6.319791502;81.8;44;54;27.4
Greece;0.883852775;66;11.66021955;71.4;42.3;56.2;12.1
Spain;0.351135191;69.9;8.883090017;77.9;45.3;52.3;20.7
France;0.322649428;64.1;9.105493425;76;50.3;45.4;23.9
Croatia;0.895258317;57.4;12.90246916;74.3;34.5;63.8;18
Italy;0.712589233;68.3;10.73942524;77.6;51.4;44.7;14.4
Cyprus;0.698677479;62.5;7.204473713;74.5;47.7;48.5;10.6
Latvia;0.596398202;53.1;14.38796293;73.2;40.7;56.7;28
Lithuania;0.77755672;57.5;13.53799044;76.3;42.7;55;22.4
Luxembourg;0.174838428;62.6;6.645150572;81.8;49.2;47.1;43
Hungary;1.011335319;61.7;13.26385527;72.8;38.9;58.3;31.2
Malta;0.45569791;73.2;7.399883348;74.9;34.2;63.9;16.1
Netherlands;0.379829799;61;8.706491612;78.9;48.9;48.3;29.8
Austria;0.428393499;57.3;9.344566167;73.8;46.3;51.1;42.7
Poland;1.191766994;62.5;10.81414101;77.4;40.6;56.7;12.1
Portugal;0.25713906;59.2;10.92077852;83;43.4;54.5;15.2
Romania;1.122909109;60.2;13.28364009;72.7;42.5;56.4;2.7
Slovenia;0.620623113;60.9;9.60694508;76.8;41.8;56.6;41
Slovakia;0.80826571;56.2;9.662922543;72.4;40;57.8;15.7
Finland;0.033722073;56.4;9.749699634;82.2;40.6;57.7;59.5
Sweden;0.051114484;73.3;8.595580436;87.4;48;49.6;56.7
Iceland;0.145050934;63;6.148717422;86.3;38.5;60.1;57.6
Norway;0.230801048;69.8;7.502763704;81.9;48.4;49.6;40.1
